,fluxes
R_CO2t,-2.544634337429483
R_GLCt1,0.6699999999999999
R_H2Ot,-2.2304167470949805
R_INSTt2,0.0
R_NH4t,0.06725104386414665
R_PGPPAm_SC,0.0
R_PHCDm,0.0
R_O2t,2.0
R_PHETRS,0.0
R_PHETRSm,0.0
R_PHEt2m,0.0
R_PHEt2r,0.0
R_PI3P4K_SC,0.0
R_PI45BPP_SC,0.0
R_PI4P5K_SC,0.0
R_PIN3K_SC,0.0
R_PIN4K_SC,0.0
R_PIN4Kn_SC,0.0
R_PIt2r,0.009534291549613083
R_PIt2m,4.043059295459823
R_SO4ti,0.0009910806102163344
R_PIt2p,0.0
R_2OXOADPtim,0.0015524711948390285
R_PIt2v,0.0
R_3C3HMPtm,-0.03424949519527718
R_PMDPHT,0.0
